batch_id	issue_count	directed_relation_count	undirected_relation_count	reciprocal_pair_count	reciprocal_pair_ratio
1bcfeb4316b01533b87988b9dc3eeed9	1068	1034	560	474	0.8464
issue_id	in_degree	out_degree	neighbor_count
13363492	1	2	3
13290844	1	2	2
13315797	1	1	2
13327984	1	1	2
13339673	1	1	2
13342319	1	1	2
13351881	1	2	2
13352724	1	1	2
13354065	1	2	2
13362678	1	1	2
neighbor_count	issue_count
1	1017
2	50
3	1
issue_id	duplicate_id
13277566	13277567
13277616	13277636
13277852	13277853
13277984	13279942
13278345	13481726
13278433	13299963
13278441	13281448
13279610	13287276
13279987	13412544
13280130	13350902
13281157	13283182
13282925	13300117
13285270	13312586
13285712	13552256
13285724	13369237
13285735	13316931
13285808	13286104
13285859	13305336
13286148	13595922
13286152	13289655
13286397	13286398
13287181	13288139
13287724	13298235
13287805	13290159
13288309	13288450
13289433	13290977
13290748	13297945
13290843	13290844
13290857	13290860
13291509	13318258
13291664	13293015
13291665	13291666
13292045	13365275
13293226	13307843
13293617	13296658
13294082	13346977
13294487	13303191
13295063	13312393
13295854	13296505
13295946	13300231
13296076	13297533
13296897	13304868
13298861	13333250
13299123	13368688
13299426	13301873
13300407	13301011
13301212	13344467
13301362	13301578
13301431	13301439
13301506	13310115
13301584	13473761
13301757	13372986
13301899	13302642
13302942	13302944
13303531	13304768
13304268	13533829
13304322	13415090
13304383	13341720
13305276	13345939
13306238	13306239
13306716	13317107
13307904	13307909
13307933	13307934
13308668	13308692
13309781	13314731
13309875	13315769
13309944	13318333
13310672	13321192
13311188	13491388
13311794	13386733
13312347	13364756
13312407	13330656
13312466	13330582
13312683	13312685
13313031	13350793
13313687	13314197
13315082	13320353
13315133	13345188
13315716	13316116
13315751	13358149
13315911	13317591
13316521	13342897
13316576	13385017
13317167	13352395
13317502	13340494
13318244	13318249
13318475	13354065
13319209	13319210
13319458	13327309
13319553	13319673
13320258	13336690
13320811	13342375
13320897	13338114
13321043	13345236
13321190	13324252
13322032	13326338
13323121	13325642
13323361	13329652
13323725	13344728
13323952	13329045
13324135	13362507
13324229	13359258
13324538	13337329
13325444	13325445
13325503	13327624
13325573	13342588
13325819	13327305
13325949	13325970
13326196	13503078
13326231	13326903
13326665	13481037
13327526	13357824
13328229	13329042
13328674	13328811
13328984	13386877
13330385	13330636
13335497	13377994
13335671	13537739
13335754	13469093
13336044	13338162
13336581	13361755
13336805	13337005
13337307	13475730
13337479	13352901
13337721	13358044
13338168	13339920
13338174	13399507
13338464	13338465
13338474	13339216
13338807	13571563
13339536	13344267
13339558	13525876
13340432	13341325
13341443	13345117
13341791	13341867
13341955	13342022
13342440	13385497
13343143	13343407
13343360	13427168
13343822	13353722
13344074	13357600
13344315	13344658
13345358	13345383
13345403	13361437
13346169	13346186
13346504	13346505
13346966	13579718
13347575	13353488
13348885	13349072
13350980	13367394
13351421	13356943
13351742	13363523
13351881	13362722
13352136	13355012
13352963	13352964
13353170	13353282
13353559	13363126
13354844	13360286
13354865	13355465
13356003	13367318
13356034	13373270
13356117	13357630
13357571	13378901
13358749	13373873
13359699	13383461
13360943	13387495
13360944	13360989
13361007	13373120
13361418	13438775
13362199	13399825
13362275	13362276
13362435	13362436
13362685	13362689
13362832	13561742
13363065	13500783
13365327	13365328
13365460	13365466
13365731	13365733
13365756	13365757
13365829	13424270
13366643	13415609
13366798	13424557
13366836	13366842
13367144	13383192
13367530	13367531
13367532	13367534
13368078	13368079
13368326	13370704
13368753	13368754
13368756	13449019
13369341	13380399
13369625	13369626
13369802	13425233
13369922	13371988
13369965	13410328
13370252	13370544
13372113	13376084
13372483	13383983
13373437	13376520
13374158	13374159
13375680	13575921
13375722	13398568
13376468	13381178
13379304	13400827
13379350	13439472
13379394	13379396
13380206	13403547
13380231	13380388
13380435	13380436
13380496	13381356
13381011	13401947
13381338	13395980
13381521	13382791
13382583	13384309
13383390	13393625
13384047	13387723
13386450	13438681
13387081	13396968
13387216	13401539
13387651	13573273
13389310	13415769
13390545	13433482
13390806	13391479
13391150	13416286
13391825	13398092
13392240	13468509
13392311	13500644
13392751	13398749
13393004	13397566
13396088	13426517
13396349	13443473
13396794	13398147
13399415	13401591
13399626	13416377
13399871	13400202
13400047	13438855
13400626	13400791
13401693	13418034
13401921	13403169
13405839	13409023
13405990	13409182
13406429	13409181
13406749	13415306
13406971	13422137
13407196	13410585
13407415	13486883
13407416	13408713
13407830	13416957
13408962	13409180
13408974	13409179
13409140	13409734
13409722	13410294
13410500	13412901
13410694	13410718
13411324	13424501
13411366	13424737
13411409	13411684
13412208	13509166
13412852	13432745
13412853	13412919
13413992	13523883
13416028	13449894
13416412	13419939
13416440	13478489
13417724	13423027
13418517	13430483
13419663	13541180
13420194	13420488
13420672	13557750
13420719	13429383
13421665	13430997
13423214	13424735
13423328	13478606
13423759	13481566
13424306	13449721
13424536	13482060
13424989	13443480
13425003	13445160
13425004	13425021
13426203	13519646
13426231	13440231
13427513	13560194
13429758	13429759
13430369	13432761
13432165	13472380
13434079	13470812
13434136	13449323
13434516	13434557
13434529	13434531
13434641	13448375
13435686	13476491
13435892	13436153
13435952	13440545
13436961	13481084
13437045	13480641
13437078	13443175
13438183	13574948
13438189	13438195
13438913	13547000
13439039	13469863
13440806	13540286
13441793	13443608
13442740	13442741
13443216	13584786
13445315	13445316
13445870	13446349
13446461	13447414
13446733	13449073
13447158	13561923
13448212	13502519
13448676	13448678
13449090	13449113
13449351	13449352
13449608	13454983
13450390	13451378
13468358	13481599
13469509	13469701
13471087	13472056
13472057	13472420
13472099	13482611
13472129	13473329
13472721	13474688
13473128	13485195
13473338	13474719
13474272	13566522
13474624	13474625
13474953	13594828
13475837	13477564
13476194	13476556
13476310	13479403
13476471	13476774
13477046	13481922
13477332	13481784
13478269	13478452
13479551	13481711
13480463	13515499
13481529	13483271
13482317	13537907
13483078	13484520
13483682	13554706
13483892	13503684
13484481	13484482
13485276	13486579
13485413	13491808
13485915	13486472
13485979	13525629
13486069	13502654
13486196	13519654
13487155	13495180
13491293	13497434
13493390	13514672
13493451	13493686
13494151	13520553
13494183	13529870
13500269	13505525
13502634	13503183
13503178	13503879
13506199	13515882
13506718	13513638
13507491	13528851
13509229	13509808
13510063	13510338
13514035	13522853
13514151	13526196
13514538	13522879
13514673	13522145
13514886	13516200
13515722	13515878
13516063	13518196
13516146	13516195
13516209	13525401
13517087	13525355
13517668	13521576
13517919	13519883
13518038	13521649
13519790	13556524
13519947	13520930
13520234	13520892
13520424	13537559
13522311	13523954
13522810	13558876
13522998	13556717
13523503	13570296
13524256	13528502
13525296	13528096
13525639	13529764
13526107	13527049
